pm_name,pm_Latitude,pm_Longitude,pm_type,pm_LandPublicArea,pm_location
北投186號綠地,25.123029709,121.46652985,綠地,482,大度路三段南側，知行路314號旁
北投187號綠地,25.122909546,121.46829224,綠地,2077,大度路三段南側
北投188號綠地,25.122749329,121.47055817,綠地,3632,大度路三段南側
北投191號綠地,25.122489929,121.48084259,綠地,12448,大度路二段北側
北投192號綠地,25.122089386,121.48091125,綠地,13087,大度路二段南側
北投203號綠地,25.12065,121.5031,綠地,808,公館路423巷11-17號前(區段徵收)
北投257號綠地(承德3號),25.10442,121.512199,綠地,1311,承德路六段上，北投士林科技園區(綠3，區段徵收)
北投39號綠地,25.121984,121.462777,綠地,729,聖景路140~150號前
北投62號綠地,25.129382,121.503215,綠地,3116,磺港路上(清江路177巷口至清江路113巷口)
北投63號綠地,25.127590179,121.50334167,綠地,3198,磺港路上(三合橋旁至清江路177巷口)
北投64號綠地,25.126383,121.503285,綠地,4758,磺港路上(崇仁路一段131巷口至三合橋旁)
北投65號綠地,25.124689102,121.50305176,綠地,2659,磺港路上(崇仁路一段155巷口至131巷口)
北投66號綠地,25.123739243,121.50296021,綠地,520,磺港路上(崇仁路一段155巷口兩側)
北投69號綠地,25.126020432,121.51203918,綠地,383,崇仰一路11號旁
北投90號綠地,25.118619919,121.52033234,綠地,1302,石牌路二段臺北護理大學圍牆外(榮總對面)
北投91號綠地,25.119029999,121.52163696,綠地,256,石牌路二段上振興街口與天母西路口間(榮總急診入口處對面)
北投92號綠地,25.119260788,121.52227783,綠地,255,石牌路二段與天母西路、天母西路130巷間
北投98號綠地,25.115659714,121.51550293,綠地,911,石牌路二段上(東華街二段起至裕民三路口)
永和綠地,25.127910614,121.52793121,綠地,435,行義路98號附近
永欣綠地,25.12384,121.52695,綠地,4676,石牌路二段371巷3號
安明綠地,25.135616,121.502133,綠地,3776,光明路157巷2弄1號(七虎公園旁)
奇岩4號綠地,25.126039505,121.50554657,綠地,9973,三合路一段，清江國小旁。
忠義公園,25.135152,121.477771,綠地,2515,台北市北投區中央北路四段32號旁
承仙綠地,25.119680405,121.50263214,綠地,288,承德路7段.公館路交會東北側
明德公園,25.10725975,121.52098083,綠地,665,東華街一段10號附近
林投坑(一)綠地,25.136749268,121.48937225,綠地,1760,中央北路二段257號後(貴子坑溪至北投捷運機場北側)
林投坑(二)綠地,25.136510849,121.4890976,綠地,1775,中央北路二段257號後(貴子坑溪至北投捷運機場南側)
湖山綠地,25.1517872961,121.5438304285,綠地,7833,台北市北投區湖山路一段
番仔厝綠地,25.134130478,121.49590302,綠地,2680,大業路525巷及517巷之間
磅空頂綠地,25.122980118,121.46507263,綠地,9384,大度路三段301巷28弄底，馬偕護校東側(原北投第二號公墓)
線形公園-北投19號綠地,25.1168528667,121.5140161289,綠地,373,臺北市北投區永明里東華街二段36號
線形公園-北投22號綠地,25.1201947276,121.5100943656,綠地,268,112臺北市北投區東華里東華街二段202號正對面
線形公園-北投25號綠地A,25.1220832616,121.5024151406,綠地,9707,臺北市北投區八仙里公舘路420號對面西安橋旁
櫻花崗公園,25.12349,121.52616,綠地,4734,石牌路二段與天母北路交叉口
北投3號廣場,25.131959915,121.49784088,廣場,11040,北投路二段，捷運北投站前廣場(捷運局82年代辦重建)
41號公園,25.10709,121.5644,公園,4048,中社路雙溪國小對面
士林官邸公園,25.094900131,121.53015137,公園,129965,中山北路5段378巷以北/福林路.中山北路交叉口右側(士林官邸)
山仔后公園,25.1372910255,121.5456354714,公園,2292,台北市士林區光華路3號
天母公園,25.1259089,121.530518,公園,57815,臺北市士林區中山北路7段141巷旁
天和一號公園,25.11844,121.53471,公園,1858,天母東路69巷口
天和公園,25.119819641,121.53398895,公園,14936,臺北市士林區天母東路69巷前
天壽公園,25.1140282,121.5256861,公園,6558,中山北路六段405巷右側
天福2號公園,25.117090225,121.53160858,公園,727,天母東路8巷25-1號對面
外雙溪公園,25.101270676,121.55239105,公園,2240,至善路2段284巷19號
仰德一號公園,25.100070953,121.53778076,公園,2621,仰德大道1段2-1號
仰德二號公園,25.099990845,121.53827667,公園,2284,仰德大道1段2-2號
名山公園,25.101549149,121.53237152,公園,5690,至誠路一段215號旁(雨農橋附近)
至善公園,25.098190308,121.53829193,公園,24786,臺北市士林區福林路、至善路口東北側
至誠公園,25.101089478,121.53668213,公園,3326,至誠路1段24號對面
至德園公園,25.098400116,121.54640198,公園,8722,至善路2段113巷
住六(公一)公園,25.1369139631,121.5594925005,公園,4227,臺北市陽明山住六(公一)重劃區  臺北市士林區富館街附近
住六(公二)公園,25.1376053522,121.5576499443,公園,5786,陽明山6-6重劃區(臺北市士林區草東街附近)
克強公園,25.107985964,121.521967,公園,16505,臺北市士林區磺溪街55巷
志成公園,25.09669,121.53086,公園,14806,臺北市士林區中正路與志成街交叉口
忠誠公園,25.103420258,121.52574158,公園,10149,臺北市士林區中山北路六段與忠誠路一段交叉口
承德公園,25.089660645,121.52198029,公園,8240,大南路138號對面
明勝公園,25.079968,121.519187,公園,221,承德路4段6巷56號旁
東和公園,25.1226002,121.5336861,公園,31800,臺北市士林區中山北路7段114巷旁
社子公園,25.090370178,121.50602722,公園,10713,臺北市士林區永平街20巷11弄3號對面
社子島福安里堤防綠地,25.09814157,121.4964373417,公園,780,延平北路7段106巷52弄口蹄側(士林社子島福安里堤防綠地)
社正公園,25.087499619,121.51042175,公園,3860,中正路與重慶北路四段交叉處
芝山公園,25.102369308,121.53177643,公園,100063,至誠路一段、雨聲街交叉口
花卉試驗中心,25.1350154328,121.5444106431,公園,40666,臺北市士林區仰德大道4段175巷32號
前港公園,25.0860629,121.5201556,公園,36129,臺北市士林區前港街與華齡街交叉口
後港公園,25.093237,121.514454,公園,3411,承德路五段78號旁（度量衡檢定所旁）
美崙公園,25.097379684,121.51721954,公園,60288,臺北市士林區美崙街152巷
原住民文化主題公園,25.101570129,121.55075073,公園,22899,臺北市士林區至善路2段221號旁
海光公園,25.081850052,121.50788116,公園,10084,臺北市士林區環河北路三段與葫蘆街交口
基河公園,25.080039978,121.52401733,公園,4240,基河路14號對面
基隆河沖洗溝加蓋綠地,25.084049225,121.52316284,公園,8745,"承德路,後港街間(基隆河沖洗溝加蓋綠地)."
華聲公園,25.095979691,121.52249146,公園,3754,華聲街20號對面
華齡公園,25.084049225,121.52316284,公園,1200,承德路，後港街間
新佳公園,25.098630905,121.5194931,公園,677,文昌路179巷12號對面
福中公園,25.087919235,121.51883698,公園,3852,福港街107巷百齡國小附近
福志公園,25.099050522,121.53405762,公園,12403,臺北市士林區忠勇街40巷20弄底
福林公園,25.0958004,121.52947235,公園,26316,中山北路與福林路交叉口
福華公園,25.0821799,121.5189218,公園,275,通河街325巷北側
福順公園,25.082349777,121.51113129,公園,1827,延平北路5段136巷內
翠山公園,25.10845,121.56995,公園,12171,中央社區翠山街與中社路二段口
德仁公園,25.102659225,121.52146149,公園,348,文林路714巷內
德行公園,25.105110168,121.52365112,公園,7399,德行西路30號仰德活動中心旁
線形公園-前街,25.097214,121.524831,公園,1193,中正路236巷與前街交叉口(淡水捷運高架下方)
線形公園-後街,25.097214,121.524831,公園,1193,文林路594巷與後街交叉口(淡水捷運高架下方)
線形公園-劍潭,25.079087,121.523387,公園,5230,通河街2巷與承德路四段9巷交叉口旁(劍潭國小後方)
衛理兒童遊戲場,25.102329254,121.55330658,公園,908,至善路二段332巷旁
磺溪公園,25.104879379,121.52062988,公園,4050,德行西路93巷底
雙溪公園,25.098039627,121.53591919,公園,62486,福林路至善路口東南側
雙溪濕地公園,25.096977,121.511988,公園,25500,台北市士林區承德路五段150巷1號
