name,category,lat,lon,address
米傑瑞股份有限公司,餐廳,25.034057,121.559951,臺北市信義區基隆路1段420號1樓
全全開發股份有限公司,餐廳,25.035063,121.568025,臺北市信義區松仁路90號2樓
谷澄有限公司,餐廳,25.035229,121.543859,臺北市大安區復興南路1段293號3樓之1
佳頤全齡會館有限公司,餐廳,25.130672,121.498724,臺北市北投區北投路2段11號7樓之6
悅萊水產股份有限公司,餐廳,25.031945,121.489456,臺北市萬華區長順街42號
圓山勝利有限公司,餐廳,25.03655,121.549225,臺北市大安區敦化南路1段261號4樓
金峒有限公司,餐廳,25.025905,121.552583,臺北市大安區通化街259號1樓
弘鉦國際股份有限公司,餐廳,25.081043,121.558003,臺北市中山區敬業四路33號15樓
石元餐飲股份有限公司,餐廳,25.05101,121.524348,臺北市中山區中山北路1段121巷27之1號1樓
朕瑞企業有限公司,餐廳,25.017136,121.533119,臺北市大安區新生南路3段96號2樓
頂好厚麵有限公司,餐廳,25.043464,121.547771,臺北市大安區敦化南路1段160巷16號
晶華管理顧問股份有限公司,餐廳,25.054489,121.523585,臺北市中山區中山北路2段45巷21號5樓
佑衡股份有限公司,餐廳,25.032586,121.566773,臺北市信義區信義路5段106號地下1樓
力欣環行股份有限公司,餐廳,25.056183,121.51849,臺北市大同區承德路2段83之2號
匯紳股份有限公司,餐廳,25.051711,121.559728,臺北市松山區南京東路5段73號
碩城實業股份有限公司,餐廳,25.050523,121.523905,臺北市中山區中山北路1段105巷12之6號2樓
鈞顯有限公司,餐廳,25.045102,121.504924,臺北市萬華區武昌街2段114號1樓
高鼎飲餐股份有限公司,餐廳,25.050523,121.523905,臺北市中山區中山北路1段105巷12之6號8樓
一泰鼎有限公司,餐廳,25.061329,121.547516,臺北市松山區民權東路3段106巷3弄24號
芯蘇管顧股份有限公司,餐廳,25.081046,121.566343,臺北市內湖區基湖路3巷11號
好的文創事業有限公司,餐廳,25.062759,121.530471,臺北市中山區民權東路2段43號5樓
永星生醫有限公司,餐廳,25.093668,121.517872,臺北市士林區士商路137號1樓
一三六海鮮事業有限公司,餐廳,25.020921,121.548046,臺北市大安區臥龍街82號
梵天餐飲管理顧問有限公司,餐廳,25.050049,121.570948,臺北市松山區八德路4段465號7樓
遇見食堂有限公司,餐廳,25.033733,121.55812,臺北市信義區光復南路473巷7號1樓
欣享食業有限公司,餐廳,25.043361,121.531263,臺北市中正區臨沂街3巷7號1樓
